x,y,z
29,13,42.045078
28,14,42.018078
27,15,42.00117214
26,16,41.9810651
25,17,41.973342
24,18,41.96304574
23,19,41.96240231
22,20,41.95861778
21,21,41.96551669
20,22,41.97304937
19,23,41.99182
18,24,42.007579
30,13,43.05182
29,14,43.026119
28,15,43.005411
27,16,42.98690764
26,17,42.9740637
25,18,42.96563606
24,19,42.9607347
23,20,42.95876638
22,21,42.96115043
21,22,42.96852842
20,23,42.980766
19,24,42.997885
18,25,43.018647
30,14,44.031466
29,15,44.011927
28,16,43.99011885
27,17,43.97801492
26,18,43.96492381
25,19,43.96158698
24,20,43.95548149
23,21,43.95940282
22,22,43.95968994
21,23,43.97444098
20,24,43.985591
19,25,44.008009
31,14,45.039818
30,15,45.017134
29,16,44.996414
28,17,44.98039435
27,18,44.96803973
26,19,44.96069149
25,20,44.95618627
24,21,44.95590705
23,22,44.95812076
22,23,44.9657685
21,24,44.97905
20,25,44.994654
19,26,45.015467
31,15,46.02452
30,16,46.000687
29,17,45.98525493
28,18,45.96803924
27,19,45.96198158
26,20,45.95368773
25,21,45.95516703
24,22,45.95262636
23,23,45.96019739
22,24,45.96836097
21,25,45.986669
20,26,46.001299
32,15,47.030929
31,16,47.00773
30,17,46.989715
29,18,46.97276711
28,19,46.96166161
27,20,46.95454113
26,21,46.95240244
25,22,46.95175749
24,23,46.95490356
23,24,46.962895
22,25,46.975774
21,26,46.992346
20,27,47.011401
32,16,48.013301
31,17,47.995405
30,18,47.976001
29,19,47.96534118
28,20,47.95252265
27,21,47.9522229
26,22,47.94794068
25,23,47.9522509
24,24,47.95402943
23,25,47.96854876
22,26,47.980667
21,27,48.001857
20,28,48.019515
33,16,49.021891
32,17,49.000794
31,18,48.981685
30,19,48.96821075
29,20,48.95566263
28,21,48.95001316
27,22,48.94786439
26,23,48.94851051
25,24,48.95133372
24,25,48.95961335
23,26,48.973429
22,27,48.989501
21,28,49.009157
33,17,50.008266
32,18,49.985797
31,19,49.97238002
30,20,49.95749922
29,21,49.95218744
28,22,49.94478562
27,23,49.94715668
26,24,49.94604221
25,25,49.95423816
24,26,49.962988
23,27,49.981117
22,28,49.996286
34,17,51.015341
33,18,50.993033
32,19,50.97582866
31,20,50.96099566
30,21,50.95356884
29,22,50.94660947
